case_id,concept_tag,severity,osi_layer,symptom,topology_note,show_output,expected_fault
C001,VLAN,Sev2,L2,"PC in Room 101 gets an IP but cannot reach anything, including its own default gateway.","PC101 patched into Sw2 Fa0/5, should be on VLAN 30 (Students).","Sw2#show interfaces fa0/5 switchport
Switchport: Enabled
Administrative Mode: static access
Operational Mode: static access
Access Mode VLAN: 10 (Guest)
Voice VLAN: none",Access port Fa0/5 is assigned to VLAN 10 (Guest) instead of VLAN 30 (Students).
C002,VLAN,Sev1,L2,All PCs on the new Accounting branch lost connectivity to each other after a switch reload.,"Sw3 trunk to Core carries VLANs 10,20,30,40.","Sw3#show interfaces trunk
Port   Mode   Encapsulation  Status   Native vlan
Gi0/1  on     802.1q         trunking 1
Port   Vlans allowed on trunk
Gi0/1  10,20,30","VLAN 40 (Accounting) is missing from the allowed VLAN list on the Gi0/1 trunk, so it is being pruned."
C003,VLAN,Sev3,L2,One printer in the lab is unreachable from its own VLAN but everything else on that VLAN works.,Printer connects to Sw1 Fa0/12.,"Sw1#show vlan brief
VLAN Name       Status  Ports
20   Faculty    active  Fa0/1-11, Fa0/13-24
(VLAN 20 does not list Fa0/12)
Sw1#show interfaces fa0/12 switchport
Access Mode VLAN: 999 (inactive)","Fa0/12 is assigned to VLAN 999, which does not exist / is not active on this switch."
C004,VLAN,Sev2,L2,New laptop cannot get past 'obtaining IP address' when plugged into the library switch.,Library port should be access VLAN 50; DHCP relay is configured on the router subinterface for VLAN 50.,"SwLib#show interfaces fa0/8 switchport
Administrative Mode: trunk
Operational Mode: trunk
","Port Fa0/8 was left configured as a trunk port instead of a VLAN 50 access port, so the PC never gets an access-VLAN and DHCP fails."
C005,VLAN,Sev2,L2,Voice VLAN phone registers but the PC daisy-chained behind it cannot reach the gateway.,Fa0/6 configured with a voice VLAN and a data VLAN.,"Sw4#show interfaces fa0/6 switchport
Access Mode VLAN: 30 (Students)
Voice VLAN: 100 (Voice)
(PC subnet is actually VLAN 31, not 30)",Data access VLAN on Fa0/6 is set to 30 but the PC's cabling/subnet belongs to VLAN 31.
C006,VLAN,Sev1,L2,Two switches show conflicting VLAN databases after a technician added a VLAN locally.,Sw5 and Sw6 are both VTP clients of the same domain.,"Sw5#show vtp status
VTP Version: 2
Configuration Revision: 12
Sw6#show vtp status
Configuration Revision: 4","Sw5 has a higher VTP revision number than the domain server, so it may have overwritten the VLAN database domain-wide."
C007,GATEWAY,Sev1,L3,Entire VLAN 30 subnet can talk to each other but nothing can leave the subnet.,PCs configured with gateway 192.168.30.1.,"PC>ipconfig
IPv4 Address: 192.168.30.55
Subnet Mask: 255.255.255.0
Default Gateway: 192.168.30.1
Router#show ip interface brief
GigabitEthernet0/0.30  192.168.30.254  YES manual up up",PCs are pointed at 192.168.30.1 but the actual router subinterface for VLAN 30 is 192.168.30.254 -- default gateway mismatch.
C008,GATEWAY,Sev2,L3,One PC can ping the gateway but no other PC on the same VLAN can.,Static IP configured manually on the affected PC.,"PC>ipconfig
IPv4 Address: 192.168.20.10
Subnet Mask: 255.255.255.0
Default Gateway: 192.168.10.1",Default gateway (192.168.10.1) is on a different subnet than the PC's own IP (192.168.20.0/24).
C009,GATEWAY,Sev1,L3,Whole branch lost access to everything outside the local subnet at the same time.,HSRP pair R1/R2 provide the gateway VIP for VLAN 10.,"R1#show standby brief
Interface  Grp  State  Active   Standby   Virtual IP
Gi0/1      10   Standby  unknown  local     192.168.10.1
R2#show standby brief -- no output (process not running)","HSRP active router R2 is down/unreachable, and R1 has not taken over the virtual gateway IP."
C010,GATEWAY,Sev2,L3,New DHCP clients get an address but cannot reach the gateway; static PCs on same VLAN are fine.,DHCP pool default-router entry recently edited.,"Router#show run | section pool VLAN30
ip dhcp pool VLAN30
 network 192.168.30.0 255.255.255.0
 default-router 192.168.30.1",DHCP pool is handing out default-router 192.168.30.1 but the interface is actually 192.168.30.254 -- scope option mismatch.
C011,GATEWAY,Sev3,L3,"Intermittent 'destination host unreachable' only from one PC, others on same VLAN fine.",Duplicate static IP suspected.,"Router#show arp
Internet  192.168.40.20  0  0011.2233.4455  ARPA  Gi0/2
Internet  192.168.40.20  0  00aa.bbcc.ddee  ARPA  Gi0/2",Two different MAC addresses are resolving to the same IP 192.168.40.20 -- duplicate IP assignment causing intermittent ARP flapping.
C012,DHCP,Sev2,L3,Several new PCs on VLAN 40 stuck on APIPA (169.254.x.x) address.,DHCP server is centralized on the router; relay configured on switch uplink.,"Router#show ip dhcp pool
Pool VLAN40 : 
 Utilization mark (high/low) : 100 / 0
 Subnet size (first/next) : 0 / 0
 Total addresses : 0","DHCP pool VLAN40 has zero addresses defined (empty/misconfigured network statement), so clients time out and self-assign APIPA."
C013,DHCP,Sev1,L3,Whole new classroom of 20 PCs cannot get an IP address at all.,"Classroom is on VLAN 60, router-on-a-stick subinterface newly added.","Router#show ip dhcp binding -- empty
Router#show run int gi0/0.60
interface GigabitEthernet0/0.60
 encapsulation dot1Q 60
(no ip helper-address configured on switch SVI upstream)","No ip helper-address is forwarding DHCP broadcasts from VLAN 60 to the DHCP server, so requests never arrive."
C014,DHCP,Sev3,L3,"A returning laptop keeps getting a different IP each day, breaking a printer share that was IP-pinned.",Lease time was shortened during a lab exercise.,"Router#show run | section pool VLAN20
ip dhcp pool VLAN20
 lease 0 0 5","DHCP lease time was set to 5 minutes, so addresses are churning far more than expected."
