timestamp,symptom,category,severity,osi_layer,confidence,root_cause,feedback,source
2026-08-23T17:54:03,,IP Addressing,Sev3,Other,low,"No diagnostic details, symptoms, or command outputs were provided to analyze the network.",accepted,
2026-08-23T17:54:46,,IP Addressing,Sev3,Other,low,"No symptom, topology details, or CLI outputs were provided to perform a network diagnosis.",accepted,
2026-08-23T18:08:03,"PC in Room 101 gets an IP but cannot reach anything, including its own default gateway.",VLAN,Sev2,L2,high,Interface FastEthernet0/5 on Sw2 is configured for VLAN 10 (Guest) instead of VLAN 30 (Students).,accepted,
2026-08-30T00:05:00,PC can communicate with devices on its local network but cannot reach the remote network.,IP Addressing,Sev3,L3,high,The PC is configured with an incorrect default gateway. The configured gateway does not match the router interface serving the local subnet.,edited,
2026-08-30T00:06:00,The workstation has no network connectivity and the directly connected switch port is not operational.,Physical,Sev2,L1,high,FastEthernet0/12 is administratively down. The interface has been shut down and must be enabled before communication can occur.,edited,
2026-08-30T00:07:00,A host can reach its local gateway but cannot access the remote server network.,Routing,Sev2,L3,high,The router does not have a route to the destination network. A valid route to the remote network must be configured.,edited,
2026-08-30T00:08:00,The computer can successfully reach external IP addresses but cannot access websites using domain names.,DNS,Sev3,L7,high,"The host is using an incorrect or unavailable DNS server. IP connectivity is working, but DNS name resolution is failing.",edited,
2026-08-30T00:10:00,The PC has a valid IP address but cannot communicate with other devices in its VLAN.,VLAN,Sev3,L2,high,"The switch port is assigned to the wrong VLAN, causing the PC to be placed in a different broadcast domain from the intended devices.",accepted,
2026-08-30T00:11:00,"The router interface is configured with an IP address, but hosts on the connected subnet cannot reach their gateway.",IP Addressing,Sev2,L3,high,"The router interface is configured with an incorrect subnet mask, causing the local network to be interpreted incorrectly.",accepted,
2026-08-30T00:12:00,Clients are unable to obtain IP addresses automatically from the network.,DHCP,Sev2,L7,high,"The DHCP service or DHCP pool is unavailable for the client network, preventing clients from receiving automatic IP configuration.",accepted,
2026-08-30T00:13:00,The router can reach the local network but cannot forward traffic toward the destination network.,Routing,Sev2,L3,high,The routing table does not contain a valid route toward the destination network.,accepted,
2026-08-30T00:14:00,Users can reach devices by IP address but cannot access services using hostnames.,DNS,Sev3,L7,high,DNS name resolution is unavailable or incorrectly configured even though basic IP connectivity is functioning.,accepted,
2026-08-30T01:00:19,One printer in the lab is unreachable from its own VLAN but everything else on that VLAN works.,VLAN,Sev3,L2,high,Interface Fa0/12 on Sw1 is assigned to an inactive VLAN (VLAN 999) instead of the Faculty VLAN (VLAN 20).,accepted,
2026-08-30T01:07:02,"PC in Room 101 gets an IP but cannot reach anything, including its own default gateway.",VLAN,Sev2,L2,high,"Switchport FastEthernet0/5 on Sw2 is assigned to VLAN 10 (Guest) instead of VLAN 30 (Students), placing PC101 in the wrong broadcast domain.",accepted,batch_test
2026-08-30T01:07:11,All PCs on the new Accounting branch lost connectivity to each other after a switch reload.,VLAN,Sev1,L2,high,VLAN 40 is missing from the allowed VLAN list on trunk interface Gi0/1 on Sw3.,accepted,batch_test
2026-08-30T01:07:20,One printer in the lab is unreachable from its own VLAN but everything else on that VLAN works.,VLAN,Sev3,L2,high,"Interface Fa0/12 is configured for an inactive VLAN (VLAN 999) instead of VLAN 20 (Faculty), isolating the printer from the rest of the subnet.",accepted,batch_test
2026-08-30T01:07:28,New laptop cannot get past 'obtaining IP address' when plugged into the library switch.,VLAN,Sev2,L2,high,"The switch port Fa0/8 is misconfigured as a trunk port instead of an access port in VLAN 50. As a result, the laptop's untagged DHCP traffic is not being placed onto VLAN 50 to reach the DHCP relay on the router.",accepted,batch_test
2026-08-30T01:18:07,"PC in Room 101 gets an IP but cannot reach anything, including its own default gateway.",VLAN,Sev2,L2,high,Switch interface FastEthernet0/5 on Sw2 is assigned to VLAN 10 (Guest) instead of VLAN 30 (Students).,accepted,batch_test
2026-08-30T01:18:17,All PCs on the new Accounting branch lost connectivity to each other after a switch reload.,VLAN,Sev1,L2,high,VLAN 40 (Accounting) is missing from the allowed VLAN list on trunk interface Gi0/1 on Sw3.,accepted,batch_test
2026-08-30T01:18:28,One printer in the lab is unreachable from its own VLAN but everything else on that VLAN works.,VLAN,Sev3,L2,high,Interface FastEthernet0/12 is assigned to an inactive VLAN (VLAN 999) instead of being configured for VLAN 20.,accepted,batch_test
2026-08-30T01:18:36,New laptop cannot get past 'obtaining IP address' when plugged into the library switch.,VLAN,Sev2,L2,high,Interface FastEthernet0/8 on SwLib is configured as a trunk port instead of an access port assigned to VLAN 50.,accepted,batch_test
2026-08-30T01:18:43,Voice VLAN phone registers but the PC daisy-chained behind it cannot reach the gateway.,VLAN,Sev2,L2,high,"Interface FastEthernet0/6 is configured with access VLAN 30, but the daisy-chained PC belongs to VLAN 31.",accepted,batch_test
2026-08-30T01:18:55,Two switches show conflicting VLAN databases after a technician added a VLAN locally.,VLAN,Sev1,L2,high,"Sw6 has a stale VTP revision number (4 vs 12) and is not receiving VTP updates, likely due to a VTP domain/password mismatch, disabled trunking, or incorrect VTP mode settings.",accepted,batch_test
2026-08-30T01:19:08,New DHCP clients get an address but cannot reach the gateway; static PCs on same VLAN are fine.,IP Addressing,Sev2,L3,high,"The DHCP pool's default-router IP address is misconfigured, causing DHCP clients to receive an incorrect default gateway while static hosts with the correct gateway IP continue to work.",accepted,batch_test
2026-08-30T01:19:19,"Intermittent 'destination host unreachable' only from one PC, others on same VLAN fine.",IP Addressing,Sev3,L3,high,"There is a duplicate IP address conflict where two different hosts are configured with 192.168.40.20, causing ARP poisoning/flapping and intermittent connection failures.",accepted,batch_test
2026-08-30T01:19:28,Several new PCs on VLAN 40 stuck on APIPA (169.254.x.x) address.,DHCP,Sev2,L3,high,"The DHCP pool VLAN40 on the router lacks a network statement, resulting in 0 available IP addresses for allocation.",accepted,batch_test
2026-08-30T01:19:36,Whole new classroom of 20 PCs cannot get an IP address at all.,DHCP,Sev1,L3,high,"The router subinterface GigabitEthernet0/0.60 lacks an IP address configuration, preventing it from serving as a layer 3 gateway or answering DHCP requests for VLAN 60.",accepted,batch_test
2026-08-30T01:19:46,"A returning laptop keeps getting a different IP each day, breaking a printer share that was IP-pinned.",DHCP,Sev3,Other,high,"The DHCP pool VLAN20 has its lease duration configured to only 5 minutes ('lease 0 0 5'), causing the laptop's IP address to expire rapidly and change when returning.",rejected,batch_test
2026-08-30T01:19:58,Two PCs on the same VLAN keep getting the exact same IP address and knocking each other offline.,DHCP,Sev2,L3,high,"The statically assigned IP address 192.168.30.50 overlaps with the active DHCP pool and is not excluded, causing the DHCP server to assign the same IP address to dynamic clients.",accepted,batch_test
2026-08-30T01:20:12,External websites fail to resolve for the whole building but internal name lookups work fine.,Other,Sev2,Other,high,"The internal DNS server lacks an upstream forwarder configuration. Because no forwarder is specified, the server cannot send queries for external domains to a public resolver.",rejected,batch_test
